idx,stages,latency,critσ,finalE,added_mem_raw,added_mem_war,added_mem_waw,added_mem_rar,added_mem_cons,dsp_need_total
0,2,2,0.5,1,0,0,0,0,0,0
1,2,2,0.5,3,0,0,0,0,0,0
2,2,2,0.5,1,0,0,0,0,0,0
3,1,1,0.0,1,0,0,0,0,0,0
4,1,1,0.0,1,0,0,0,0,0,0
5,1,1,0.0,1,0,0,0,0,0,0
6,2,2,0.5,9,0,0,0,0,0,0
7,1,1,0.0,1,0,0,0,0,0,0
8,1,1,0.0,1,0,0,0,0,0,0
9,2,2,0.0,1,0,0,0,0,1,0
10,1,1,0.0,1,0,0,0,0,0,0
11,4,4,1.0897247358851685,7,0,0,0,0,0,12
12,1,1,0.0,1,0,0,0,0,1,0
13,2,2,0.0,1,0,0,0,0,0,0
14,2,2,0.5,1,0,0,0,0,0,0
15,1,1,0.0,1,0,0,0,0,0,0
16,2,2,0.0,1,0,0,0,0,0,0
17,1,1,0.0,1,0,0,0,0,0,0
18,1,1,0.0,1,0,0,0,0,1,0
19,2,2,0.5,1,0,0,0,0,0,0
20,1,1,0.0,3,0,0,0,0,0,0
21,1,1,0.0,1,0,0,0,0,0,0
22,2,2,0.0,1,0,0,0,0,0,0
23,2,2,0.0,1,0,0,0,0,0,0
24,3,3,0.0,3,0,0,0,0,0,0
25,1,1,0.0,1,0,0,0,0,0,0
26,1,1,0.0,7,0,0,0,0,0,0
27,9,9,0.41573970964154905,50,0,0,0,0,0,0
28,2,2,0.5,2,0,0,0,0,0,0
29,1,1,0.0,1,0,0,0,0,0,0
30,2,2,1.5,6,0,0,0,0,0,0
31,2,2,2.5,20,0,0,0,0,0,0
32,2,2,0.0,1,0,0,0,0,0,0
33,2,2,1.5,7,0,0,0,0,0,0
34,1,1,0.0,1,0,0,0,0,0,0
35,1,1,0.0,1,0,0,0,0,0,0
36,2,2,0.0,1,0,0,0,0,0,0
37,2,2,0.5,1,0,0,0,0,0,0
38,5,5,0.0,7,1,3,0,0,0,0
39,2,2,0.0,1,0,0,0,0,1,0
40,2,2,0.0,1,0,1,0,0,0,0
41,2,2,0.0,1,0,0,0,0,0,0
42,2,2,0.5,2,0,0,0,0,0,0
43,1,1,0.0,1,0,0,0,0,0,0
44,2,2,1.0,4,0,0,0,0,0,0
45,2,2,0.5,1,0,0,0,0,0,0
46,1,1,0.0,3,0,0,0,0,0,0
47,2,2,0.5,3,0,0,0,0,0,0
48,2,2,0.5,3,0,0,0,0,0,0
49,2,2,0.5,3,0,1,0,0,0,0
50,2,2,0.5,1,0,0,0,0,0,0
51,1,1,0.0,1,0,0,0,0,0,0
52,2,2,0.0,1,0,0,0,0,0,0
53,1,1,0.0,4,0,0,0,0,0,0
54,1,1,0.0,2,0,0,0,0,0,0
55,3,3,3.7416573867739413,100,0,0,0,0,0,0
56,2,2,0.0,1,0,1,0,0,0,0
57,2,2,0.0,1,0,1,0,0,0,0
58,1,1,0.0,1,0,0,0,0,0,0
59,1,1,0.0,53,0,0,0,0,0,0
60,2,2,0.0,1,0,0,0,0,1,0
61,4,4,1.0897247358851685,7,0,0,0,0,0,12
62,1,1,0.0,1,0,0,0,0,1,0
63,2,2,0.0,1,0,0,0,0,0,0
64,2,2,0.0,1,0,0,0,0,0,0
65,2,2,0.5,1,0,0,0,0,0,0
66,2,2,0.0,1,0,0,0,0,0,0
67,2,2,0.5,3,0,0,0,0,0,0
68,2,2,0.0,2,0,0,0,0,0,0
69,1,1,0.0,1,0,0,0,0,0,0
70,4,4,0.0,5,0,1,0,0,2,0
71,5,5,0.0,7,1,3,0,0,0,0
72,2,2,0.0,1,0,0,0,0,1,0
73,1,1,0.0,1,0,0,0,0,0,0
74,1,1,0.0,1,0,0,0,0,0,0
75,2,2,0.5,3,0,0,0,0,0,0
76,2,2,0.0,1,0,1,0,0,0,0
77,2,2,1.0,1,0,1,0,0,0,0
78,1,1,0.0,1,0,0,0,0,0,0
79,2,2,0.0,1,0,0,0,0,1,0
80,2,2,0.5,2,0,0,0,0,0,0
81,2,2,0.0,1,0,1,0,0,0,0
82,2,2,0.0,1,0,0,0,0,0,0
83,2,2,0.5,1,0,0,0,0,0,0
84,1,1,0.0,1,0,0,0,0,0,0
85,2,2,0.0,1,0,0,0,0,0,0
86,1,1,0.0,1,0,0,0,0,0,0
87,1,1,0.0,1,0,0,0,0,0,0
88,1,1,0.0,1,0,0,0,0,0,0
89,2,2,0.5,1,0,0,0,0,0,0
90,2,2,0.5,1,0,0,0,0,0,0
91,1,1,0.0,7,0,0,0,0,0,0
92,9,9,0.41573970964154905,50,0,0,0,0,0,0
93,2,2,0.5,2,0,0,0,0,0,0
94,1,1,0.0,1,0,0,0,0,0,0
95,2,2,0.0,1,0,0,0,0,0,0
96,2,2,1.0,3,0,0,0,0,0,0
97,2,2,0.0,1,0,0,0,0,0,0
98,2,2,0.0,1,0,0,0,0,0,0
99,1,1,0.0,1,0,0,0,0,0,0
100,2,2,0.5,1,0,0,0,0,0,0
101,2,2,0.0,1,0,0,0,0,0,0
102,1,1,0.0,1,0,0,0,0,0,0
103,1,1,0.0,1,0,0,0,0,1,0
104,2,2,0.5,1,0,0,0,0,0,0
105,3,3,3.7416573867739413,100,0,0,0,0,0,0
106,1,1,0.0,53,0,0,0,0,0,0
107,1,1,0.0,3,0,0,0,0,0,0
108,1,1,0.0,1,0,0,0,0,0,0
109,2,2,0.0,2,0,0,0,0,0,0
110,1,1,0.0,1,0,0,0,0,0,0
111,2,2,0.0,1,0,0,0,0,0,0
112,2,2,0.0,1,0,0,0,0,1,0
113,4,4,1.0897247358851685,7,0,0,0,0,0,12
114,1,1,0.0,1,0,0,0,0,1,0
115,1,1,0.0,1,0,0,0,0,0,0
116,2,2,0.5,4,0,0,0,0,0,0
117,2,2,0.5,3,0,0,0,0,0,0
118,1,1,0.0,1,0,0,0,0,0,0
119,1,1,0.0,1,0,0,0,0,0,0
120,2,2,0.0,1,0,0,0,0,0,0
121,2,2,0.0,1,0,0,0,0,0,0
122,3,3,0.0,3,0,0,0,0,0,0
123,1,1,0.0,2,0,0,0,0,0,0
124,1,1,0.0,1,0,0,0,0,0,0
125,1,1,0.0,2,0,0,0,0,0,0
126,1,1,0.0,2,0,0,0,0,0,0
127,1,1,0.0,1,0,0,0,0,0,0
128,4,4,0.4330127018922193,6,2,0,0,0,0,0
129,2,2,0.0,1,0,0,0,0,0,0
130,3,3,0.0,3,0,0,0,0,0,0
131,1,1,0.0,1,0,0,0,0,0,0
132,2,2,1.0,3,0,0,0,0,0,12
133,2,2,0.5,3,0,0,0,0,1,4
134,2,2,0.5,1,0,0,0,0,0,0
135,2,2,0.5,1,0,0,0,0,0,0
136,1,1,0.0,6,0,0,0,0,0,0
137,1,1,0.0,1,0,0,0,0,0,0
138,1,1,0.0,1,0,0,0,0,0,0
139,2,2,0.5,1,0,0,0,0,0,0
140,1,1,0.0,6,0,0,0,0,0,0
141,1,1,0.0,1,0,0,0,0,0,0
142,1,1,0.0,3,0,0,0,0,0,0
143,1,1,0.0,1,0,0,0,0,0,0
144,2,2,0.0,1,0,0,0,0,0,0
145,2,2,0.0,2,0,0,0,1,0,0
146,1,1,0.0,1,0,0,0,0,0,0
147,2,2,0.0,1,0,1,0,0,0,0
148,2,2,0.0,1,0,1,0,0,0,0
149,2,2,1.0,2,0,0,0,0,0,0
150,2,2,1.0,3,0,0,0,0,0,0
151,1,1,0.0,1,0,0,0,0,0,0
152,1,1,0.0,1,0,0,0,0,0,0
153,1,1,0.0,1,0,0,0,0,0,0
154,2,2,0.5,1,0,0,0,0,0,0
155,1,1,0.0,1,0,0,0,0,0,0
156,2,2,0.5,1,0,0,0,0,0,0
157,2,2,0.5,2,0,0,0,1,0,0
158,2,2,0.0,1,0,1,0,0,0,0
159,2,2,1.0,2,0,0,0,0,0,0
160,2,2,0.0,1,0,0,0,0,0,0
161,2,2,1.0,3,0,0,0,0,0,0
162,2,2,0.0,2,0,0,0,0,0,0
163,1,1,0.0,1,0,0,0,0,0,0
164,1,1,0.0,6,0,0,0,0,0,0
165,1,1,0.0,1,0,0,0,0,0,0
166,1,1,0.0,1,0,0,0,0,0,0
167,2,2,0.5,1,0,0,0,0,0,0
168,1,1,0.0,6,0,0,0,0,0,0
169,1,1,0.0,1,0,0,0,0,0,0
170,3,3,0.4714045207910317,2,0,0,0,0,0,0
171,1,1,0.0,3,0,0,0,0,0,0
172,2,2,0.0,2,0,0,0,0,0,0
173,1,1,0.0,1,0,0,0,0,0,0
174,1,1,0.0,1,0,0,0,0,0,0
175,2,2,0.5,1,0,0,0,0,0,0
176,2,2,1.0,4,0,0,0,0,0,0
177,2,2,0.0,2,0,0,0,1,0,0
178,1,1,0.0,1,0,0,0,0,0,0
179,1,1,0.0,1,0,0,0,0,0,0
180,1,1,0.0,1,0,0,0,0,0,0
181,2,2,0.5,2,0,0,0,1,0,0
182,2,2,0.0,1,0,1,0,0,0,0
183,2,2,1.0,2,0,0,0,0,0,0
184,2,2,1.0,3,0,0,0,0,0,0
185,2,2,0.0,1,0,0,0,0,0,0
186,1,1,0.0,1,0,0,0,0,0,0
187,1,1,0.0,1,0,0,0,0,0,0
188,2,2,0.0,2,0,0,0,1,0,0
189,2,2,0.0,2,0,0,0,1,0,0
190,1,1,0.0,6,0,0,0,0,0,0
191,1,1,0.0,1,0,0,0,0,0,0
192,2,2,0.0,1,0,0,0,0,0,0
193,2,2,0.5,1,0,0,0,0,0,0
194,2,2,0.5,1,0,0,0,0,0,0
195,1,1,0.0,1,0,0,0,0,0,0
196,1,1,0.0,1,0,0,0,0,0,0
197,1,1,0.0,1,0,0,0,0,0,0
198,1,1,0.0,1,0,0,0,0,0,0
199,2,2,0.0,1,0,0,0,0,0,0
200,1,1,0.0,1,0,0,0,0,0,0
201,1,1,0.0,1,0,0,0,0,0,0
202,2,2,0.5,1,0,0,0,0,0,0
203,2,2,0.0,2,0,0,0,1,0,0
204,1,1,0.0,1,0,0,0,0,0,0
205,2,2,0.0,1,0,0,0,0,0,0
