idx,stages,latency,critσ,combHits,dspHits,baseE,rawE,warE,wawE,flagWR,flagWAW,finalE
1656,2,2,2.0,1,0,5,2,1,0,0,0,8
1657,3,3,0.4714045207910317,0,0,3,1,0,0,0,0,4
1658,3,3,0.9428090415820634,0,0,2,1,0,0,0,0,3
1659,3,3,2.0548046676563256,1,0,4,0,0,0,0,0,4
1660,1,1,0.0,0,0,1,0,0,0,0,0,1
1661,1,1,0.0,0,0,1,0,0,0,0,0,1
1662,2,2,1.0,0,0,1,0,0,0,0,0,1
1663,1,1,0.0,0,0,5,1,0,1,0,1,8
1664,1,1,0.0,0,0,1,0,0,0,0,0,1
1665,3,3,0.0,0,0,2,1,0,0,0,0,3
1666,2,2,0.0,0,0,1,0,0,0,0,0,1
1667,3,3,0.9428090415820634,0,0,2,0,0,0,0,0,2
1668,2,2,1.0,0,0,1,0,0,0,0,0,1
1669,2,2,1.0,0,0,4,0,0,0,0,1,4
1670,1,1,0.0,0,0,2,0,0,0,0,0,2
1671,1,1,0.0,0,0,2,0,0,0,0,0,2
1672,2,2,1.0,0,0,1,0,0,0,0,0,1
1673,1,1,0.0,0,0,1,0,0,0,0,0,1
1674,1,1,0.0,0,0,1,0,0,0,0,0,1
1675,3,3,0.9428090415820634,0,0,2,0,0,0,0,0,2
1676,2,2,1.5,1,0,4,1,0,0,1,0,6
1677,1,1,0.0,0,0,1,0,0,0,0,0,1
1678,3,3,0.9428090415820634,0,0,4,3,0,0,0,0,7
1679,3,3,0.9428090415820634,0,0,3,0,0,0,0,0,3
1680,1,1,0.0,0,0,1,0,0,0,0,0,1
1681,2,2,1.0,0,0,1,0,0,0,0,0,1
1682,2,2,0.5,0,0,2,1,0,0,0,0,3
1683,4,4,1.920286436967152,1,0,10,4,0,0,0,0,14
1684,4,4,1.5811388300841898,1,0,11,8,5,2,0,0,26
1685,1,1,0.0,0,0,1,0,0,0,0,0,1
1686,1,1,0.0,0,0,1,0,0,0,0,0,1
1687,7,7,1.7261494247992246,5,0,17,20,3,2,0,0,42
1688,1,1,0.0,0,0,1,0,0,0,0,0,1
1689,2,2,1.0,0,0,1,0,0,0,0,0,1
1690,3,3,0.9428090415820634,0,0,9,3,1,0,0,0,13
1691,2,2,1.0,0,0,1,0,0,0,0,0,1
1692,3,3,1.247219128924647,0,0,3,0,0,0,0,0,3
1693,2,2,1.5,1,0,5,1,0,1,0,0,7
1694,2,2,1.0,0,0,1,0,0,0,0,0,1
1695,1,1,0.0,0,0,3,3,0,0,0,0,6
1696,2,2,1.0,0,0,1,0,0,0,0,0,1
1697,4,4,1.118033988749895,1,0,11,13,7,2,0,3,36
1698,2,2,0.0,0,0,1,0,0,0,0,0,1
1699,1,1,0.0,0,0,2,0,0,0,0,0,2
1700,2,2,1.5,1,0,6,7,0,0,0,0,13
1701,2,2,1.0,0,0,1,0,0,0,0,0,1
1702,4,4,1.224744871391589,0,0,5,3,2,1,0,0,11
1703,2,2,1.0,0,0,6,0,1,1,0,1,8
1704,1,1,0.0,0,0,6,1,0,1,1,0,9
1705,3,3,0.9428090415820634,0,0,6,0,0,0,0,0,6
1706,5,5,1.1661903789690602,3,0,17,18,14,4,2,3,58
1707,2,2,1.0,0,0,1,0,0,0,0,0,1
1708,2,2,1.0,0,0,1,0,0,0,0,0,1
1709,2,2,1.0,0,0,1,0,0,0,0,0,1
1710,2,2,0.5,0,1,1,0,0,0,0,0,1
1711,1,1,0.0,0,0,3,0,0,0,0,0,3
1712,1,1,0.0,0,0,2,0,0,0,0,0,2
1713,1,1,0.0,0,0,1,0,0,0,0,0,1
1714,2,2,1.0,0,0,1,0,0,0,0,0,1
1715,2,2,1.0,0,0,1,0,0,0,0,0,1
1716,2,2,1.0,0,0,1,0,0,0,0,0,1
1717,2,2,1.0,0,0,1,0,0,0,0,0,1
1718,3,3,1.8856180831641267,2,0,11,7,3,1,1,5,27
1719,1,1,0.0,0,0,1,0,0,0,0,0,1
1720,3,3,0.816496580927726,0,1,2,0,0,0,0,0,2
1721,1,1,0.0,0,0,1,0,0,0,0,0,1
1722,3,3,0.9428090415820634,0,0,4,3,0,0,0,0,7
1723,2,2,1.0,0,0,1,0,0,0,0,0,1
1724,1,1,0.0,0,0,1,0,0,0,0,0,1
1725,3,3,0.0,0,0,4,2,0,0,0,0,6
1726,1,1,0.0,0,0,1,0,0,0,0,0,1
