idx,stages,latency,critσ,combHits,dspHits,baseE,rawE,warE,wawE,flagWR,flagWAW,finalE
0,1,1,0.0,0,0,1,0,0,0,0,0,1
1,1,1,0.0,0,0,1,0,0,0,0,0,1
2,1,1,0.0,0,0,1,0,0,0,0,0,1
3,2,2,0.0,1,0,3,1,0,0,0,0,4
4,6,6,0.7453559924999299,5,0,20,15,5,3,0,15,58
5,1,1,0.0,0,0,1,0,0,0,0,0,1
6,1,1,0.0,0,0,1,0,0,0,0,0,1
7,1,1,0.0,0,0,1,0,0,0,0,0,1
8,1,1,0.0,0,0,1,0,0,0,0,0,1
9,1,1,0.0,0,0,1,0,0,0,0,0,1
10,6,6,0.7453559924999299,5,0,20,15,5,3,0,15,58
11,1,1,0.0,0,0,1,0,0,0,0,0,1
12,1,1,0.0,0,0,1,0,0,0,0,0,1
13,2,2,1.0,1,0,3,3,0,0,0,0,6
14,1,1,0.0,0,0,1,0,0,0,0,0,1
15,2,2,1.0,1,0,3,2,0,0,0,1,6
16,1,1,0.0,0,0,1,0,0,0,0,0,1
17,1,1,0.0,0,0,2,1,0,0,0,0,3
18,1,1,0.0,0,0,1,0,0,0,0,0,1
19,1,1,0.0,0,0,1,0,0,0,0,0,1
20,2,2,1.0,1,0,1,0,0,0,0,0,1
21,1,1,0.0,0,0,1,0,0,0,0,0,1
22,1,1,0.0,0,0,1,0,0,0,0,0,1
23,2,2,1.0,1,0,3,3,0,0,0,0,6
24,1,1,0.0,0,0,1,0,0,0,0,0,1
25,2,2,1.0,1,0,3,2,0,0,0,1,6
26,1,1,0.0,0,0,1,0,0,0,0,0,1
27,1,1,0.0,0,0,2,1,0,0,0,0,3
28,1,1,0.0,0,0,1,0,0,0,0,0,1
29,1,1,0.0,0,0,1,0,0,0,0,0,1
30,1,1,0.0,0,0,1,0,0,0,0,0,1
31,1,1,0.0,0,0,1,0,0,0,0,0,1
32,2,2,1.0,1,0,3,3,0,0,0,0,6
33,1,1,0.0,0,0,1,0,0,0,0,0,1
34,1,1,0.0,0,0,1,0,0,0,0,0,1
35,1,1,0.0,0,0,1,0,0,0,0,0,1
36,1,1,0.0,0,0,1,0,0,0,0,0,1
37,1,1,0.0,0,0,1,0,0,0,0,0,1
38,1,1,0.0,0,0,1,0,0,0,0,0,1
39,1,1,0.0,0,0,1,0,0,0,0,0,1
