bench,src,pcs,latencies,stage_count,muops
500.perlbench_r/3,3/super_hot_regions:6,"0x621bfaa1ce7e,0x621bfaa1ce80","1,0",1,DEC-MOVSXD
500.perlbench_r/3,3/super_hot_regions:8,"0x621bfaa1ce8a,0x621bfaa1ce8c","1,0",1,MOV-AND
500.perlbench_r/1,1/super_hot_regions:11,"0x5ebda5d75e7e,0x5ebda5d75e80","1,0",1,DEC-MOVSXD
500.perlbench_r/1,1/super_hot_regions:13,"0x5ebda5d75e8a,0x5ebda5d75e8c","1,0",1,MOV-AND
500.perlbench_r/2,2/super_hot_regions:14,"0x62585e5d18d3,0x62585e5d18d9,0x62585e5d18df,0x62585e5d18fe,0x62585e5d191a,0x62585e5d1920,0x62585e5d1923,0x62585e5d1929,0x62585e5d192c,0x62585e5d1932,0x62585e5d1935,0x62585e5d1938,0x62585e5d193b,0x62585e5d193e,0x62585e5d1941,0x62585e5d1952","5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",5,MOV-MOV-MOV-RORX-RORX-XOR-RORX-XOR-MOV-OR-MOV-AND-AND-OR-ADD-MOV
500.perlbench_r/3,3/super_hot_regions:37,"0x621bfaa888d3,0x621bfaa888d9,0x621bfaa888df,0x621bfaa888fe,0x621bfaa8891a,0x621bfaa88920,0x621bfaa88923,0x621bfaa88929,0x621bfaa8892c,0x621bfaa88932,0x621bfaa88935,0x621bfaa88938,0x621bfaa8893b,0x621bfaa8893e,0x621bfaa88941,0x621bfaa88952","5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",5,MOV-MOV-MOV-RORX-RORX-XOR-RORX-XOR-MOV-OR-MOV-AND-AND-OR-ADD-MOV
500.perlbench_r/1,1/super_hot_regions:47,"0x5ebda5d65e38,0x5ebda5d65e4c","1,0",1,XOR-MOV
500.perlbench_r/2,2/super_hot_regions:69,"0x62585e568e20,0x62585e568e28","1,0",1,MOV-AND
500.perlbench_r/2,2/super_hot_regions:89,"0x62585e565e7e,0x62585e565e80","1,0",1,DEC-MOVSXD
500.perlbench_r/2,2/super_hot_regions:91,"0x62585e565e8a,0x62585e565e8c","1,0",1,MOV-AND
500.perlbench_r/2,2/super_hot_regions:95,"0x62585e570181,0x62585e570186","1,0",1,MOV-AND
500.perlbench_r/3,3/super_hot_regions:104,"0x621bfaa0ce38,0x621bfaa0ce4c","1,0",1,XOR-MOV
