Case,Benchmark,WNS_ns,Fmax_MHz,Dynamic_Power_W,CLB_Used,DSP_Used,BRAM_Used
memory_wo_simd,500_perlbench_r,0.659,373.925,0.569,4373,96,8
memory_wo_simd,502_gcc_r,0.574,362.406,0.421,3024,70,8
memory_wo_simd,503_bwaves_r,0.176,316.723,1.081,9067,640,8
memory_wo_simd,505_mcf_r,0.595,365.186,0.38,2763,128,8
memory_wo_simd,507_cactuBSSN_r,0.521,355.577,0.192,1145,72,8
memory_wo_simd,508_namd_r,0.296,329.236,0.322,2468,0,8
memory_wo_simd,510_parest_r,0.545,358.637,0.234,1348,54,8
memory_wo_simd,511_povray_r,0.599,365.72,0.169,832,32,8
memory_wo_simd,519_lbm_r,0.666,374.906,0.277,1786,64,8
memory_wo_simd,520_omnetpp_r,0.54,357.995,0.167,906,0,8
memory_wo_simd,521_wrf_r,0.613,367.602,0.1,347,0,8
memory_wo_simd,523_xalancbmk_r,0.697,379.315,0.127,535,0,8
memory_wo_simd,525_x264_r,0.498,352.692,0.911,7637,452,8
memory_wo_simd,526_blender_r,0.789,393.03,0.13,639,0,8
memory_wo_simd,527_cam4_r,0.426,343.958,0.115,450,0,8
memory_wo_simd,531_deepsjeng_r,0.53,356.718,0.394,3015,128,8
memory_wo_simd,538_imagick_r,0.346,334.747,0.2,917,64,8
memory_wo_simd,541_leela_r,0.513,354.568,0.206,1209,88,8
memory_wo_simd,544_nab_r,0.707,380.759,0.148,592,6,8
memory_wo_simd,548_exchange2_r,0.316,331.418,0.487,3049,512,8
memory_wo_simd,549_fotonik3d_r,0.079,307.283,1.189,11296,704,8
memory_wo_simd,554_roms_r,0.712,381.485,0.129,731,0,8
memory_wo_simd,557_xz_r,0.311,330.87,0.948,6809,388,8
memory_wo_simd,600_perlbench_s,0.461,348.149,0.575,4428,96,8
memory_wo_simd,602_gcc_s,0.762,388.903,0.229,1486,0,8
memory_wo_simd,603_bwaves_s,0.451,346.941,0.53,4498,128,8
memory_wo_simd,605_mcf_s,0.435,345.026,0.382,2627,128,8
memory_wo_simd,607_cactuBSSN_s,0.66,374.065,0.185,894,24,8
memory_wo_simd,619_lbm_s,0.651,372.81,0.265,1733,0,8
memory_wo_simd,620_omnetpp_s,0.657,373.646,0.168,928,0,8
memory_wo_simd,621_wrf_s,0.734,384.714,0.098,355,0,8
memory_wo_simd,623_xalancbmk_s,0.66,374.065,0.131,647,0,8
memory_wo_simd,625_x264_s,0.261,325.486,0.905,7453,494,8
memory_wo_simd,627_cam4_s,0.797,394.27,0.135,563,32,8
memory_wo_simd,628_pop2_s,0.683,377.311,0.183,600,96,8
memory_wo_simd,631_deepsjeng_s,0.413,342.427,0.387,2719,128,8
memory_wo_simd,641_leela_s,0.55,359.281,0.203,1176,88,8
memory_wo_simd,644_nab_s,0.562,360.837,0.21,1276,12,8
memory_wo_simd,648_exchange2_s,0.498,352.692,0.315,2243,224,8
memory_wo_simd,649_fotonik3d_s,0.391,339.866,0.872,9495,0,8
memory_wo_simd,654_roms_s,0.727,383.681,0.117,449,0,8
memory_wo_simd,657_xz_s,0.525,356.083,0.632,4608,184,8
