clock_region,category,loc,x,y
X0Y0,SLICE,SLICE_X10Y51,10,51
X0Y0,SLICE,SLICE_X10Y52,10,52
X0Y0,SLICE,SLICE_X10Y53,10,53
X0Y0,SLICE,SLICE_X10Y54,10,54
X0Y0,SLICE,SLICE_X10Y55,10,55
X0Y0,SLICE,SLICE_X10Y56,10,56
X0Y0,SLICE,SLICE_X10Y57,10,57
X0Y0,SLICE,SLICE_X10Y58,10,58
X0Y0,SLICE,SLICE_X10Y59,10,59
X0Y0,SLICE,SLICE_X10Y6,10,6
X0Y0,SLICE,SLICE_X10Y7,10,7
X0Y0,SLICE,SLICE_X10Y8,10,8
X0Y0,SLICE,SLICE_X10Y9,10,9
X0Y0,SLICE,SLICE_X11Y0,11,0
X0Y0,SLICE,SLICE_X11Y1,11,1
X0Y0,SLICE,SLICE_X11Y10,11,10
X0Y0,SLICE,SLICE_X11Y11,11,11
X0Y0,SLICE,SLICE_X11Y12,11,12
X0Y0,SLICE,SLICE_X11Y13,11,13
X0Y0,SLICE,SLICE_X11Y14,11,14
X0Y0,SLICE,SLICE_X11Y15,11,15
X0Y0,SLICE,SLICE_X11Y16,11,16
X0Y0,SLICE,SLICE_X11Y17,11,17
X0Y0,SLICE,SLICE_X11Y18,11,18
X0Y0,SLICE,SLICE_X11Y19,11,19
X0Y0,SLICE,SLICE_X11Y2,11,2
X0Y0,SLICE,SLICE_X11Y20,11,20
X0Y0,SLICE,SLICE_X11Y21,11,21
X0Y0,SLICE,SLICE_X11Y22,11,22
X0Y0,SLICE,SLICE_X11Y23,11,23
X0Y0,SLICE,SLICE_X11Y24,11,24
X0Y0,SLICE,SLICE_X11Y25,11,25
X0Y0,SLICE,SLICE_X11Y26,11,26
X0Y0,SLICE,SLICE_X11Y27,11,27
X0Y0,SLICE,SLICE_X11Y28,11,28
X0Y0,SLICE,SLICE_X11Y29,11,29
X0Y0,SLICE,SLICE_X11Y3,11,3
X0Y0,SLICE,SLICE_X11Y30,11,30
X0Y0,SLICE,SLICE_X11Y31,11,31
X0Y0,SLICE,SLICE_X11Y32,11,32
