block_idx,uop_idx,opcode,elem_w,data_w,cont_w,addr_w,raw_operands
0,0,not,64,64,0,0,r8
0,1,add,64,64,0,0,r8 r15
1,0,movsx,8,32,0,0,eax al
1,1,mov,32,32,0,0,edi eax
2,0,mov,32,32,0,0,ecx 0x800
2,1,sub,32,32,0,0,ecx r11d
2,2,shr,32,32,0,0,ecx 0x5
2,3,add,32,32,0,0,ecx r11d
3,0,lea,64,64,0,0,rcx ptr [rcx+rcx*2]
3,1,shl,64,64,0,0,rcx 0x9
4,0,sub,64,64,0,0,rax r12
4,1,sar,64,64,0,0,rax 0x3
5,0,mov,64,64,0,0,rax r8
5,1,shr,64,64,0,0,rax 0x18
6,0,lea,64,64,0,0,rdx ptr [rdx+rdx*2]
6,1,shl,64,64,0,0,rdx 0x9
7,0,movzx,8,32,0,0,ecx dh
7,1,mov,32,32,0,0,ecx ecx
8,0,mov,32,32,0,0,r8d r11d
8,1,and,32,32,0,0,r8d 0xf
9,0,shr,32,32,0,0,r13d 0x1
9,1,sub,32,32,0,0,r15d r13d
9,2,mov,32,32,0,0,ecx r15d
9,3,mov,32,32,0,0,esi r13d
9,4,sar,32,32,0,0,ecx 0x1f
9,5,and,32,32,0,0,esi ecx
9,6,add,32,32,0,0,r15d esi
10,0,mov,32,32,0,0,eax 0x800
10,1,sub,32,32,0,0,eax r9d
10,2,shr,32,32,0,0,eax 0x5
10,3,add,32,32,0,0,eax r9d
11,0,mov,32,32,0,0,eax esi
11,1,sub,32,32,0,0,r9d eax
12,0,xor,32,32,0,0,ebx ebx
12,1,mov,32,32,0,0,r12d ebx
13,0,mov,32,32,0,0,esi 0x800
13,1,sub,32,32,0,0,esi edi
13,2,shr,32,32,0,0,esi 0x5
13,3,add,32,32,0,0,esi edi
14,0,mov,32,32,0,0,eax 0x800
14,1,sub,32,32,0,0,eax r9d
14,2,shr,32,32,0,0,eax 0x5
14,3,add,32,32,0,0,eax r9d
15,0,mov,32,32,0,0,eax edi
15,1,sub,32,32,0,0,edx eax
16,0,mov,32,32,0,0,r8d r11d
16,1,and,32,32,0,0,r8d 0xf
17,0,shr,32,32,0,0,r13d 0x1
17,1,sub,32,32,0,0,r15d r13d
17,2,mov,32,32,0,0,ecx r15d
17,3,mov,32,32,0,0,esi r13d
17,4,sar,32,32,0,0,ecx 0x1f
17,5,and,32,32,0,0,esi ecx
17,6,add,32,32,0,0,r15d esi
18,0,not,64,64,0,0,r8
18,1,add,64,64,0,0,r8 r15
19,0,movzx,8,32,0,0,ecx dh
19,1,mov,32,32,0,0,ecx ecx
20,0,lea,64,64,0,0,rdx ptr [rdx+rdx*2]
20,1,shl,64,64,0,0,rdx 0x9
21,0,mov,32,32,0,0,ecx 0x800
21,1,sub,32,32,0,0,ecx r11d
21,2,shr,32,32,0,0,ecx 0x5
21,3,add,32,32,0,0,ecx r11d
22,0,lea,64,64,0,0,rcx ptr [rcx+rcx*2]
22,1,shl,64,64,0,0,rcx 0x9
23,0,sub,64,64,0,0,rax r12
23,1,sar,64,64,0,0,rax 0x3
