idx,stages,latency,critσ
0,4,4,0.8806305718527109
1,1,1,0.5
2,1,1,0.0
3,4,4,0.8806305718527109
4,4,4,0.9428090415820634
5,1,1,0.0
6,4,4,0.8806305718527109
7,4,4,0.8806305718527109
8,1,1,0.0
9,1,1,0.0
10,1,1,0.0
11,4,4,0.8806305718527109
12,4,4,0.8806305718527109
13,1,1,0.0
14,4,4,0.8806305718527109
15,1,1,0.0
16,1,1,0.0
17,1,1,0.0
18,4,4,0.8806305718527109
19,1,1,0.0
20,1,1,0.5
21,1,1,1.0
22,4,4,0.8806305718527109
23,1,1,0.0
24,1,1,0.0
25,1,1,0.0
26,1,1,0.5
27,1,1,0.0
28,4,4,1.0
29,1,1,1.0
30,1,1,0.5
31,1,1,0.0
32,1,1,0.5
33,4,4,0.8806305718527109
34,4,4,0.9428090415820634
35,1,1,0.0
36,1,1,0.0
37,1,1,0.0
38,1,1,0.5
39,1,1,0.0
40,4,4,0.8806305718527109
41,1,1,0.0
42,1,1,0.0
43,1,1,0.0
44,1,1,0.0
45,1,1,0.0
46,1,1,0.5
47,1,1,1.0
48,1,1,0.5
49,4,4,0.8806305718527109
50,4,4,0.9428090415820634
51,4,4,0.8806305718527109
52,4,4,0.9428090415820634
53,1,1,0.0
54,1,1,0.5
55,1,1,0.0
56,1,1,0.5
57,1,1,0.0
58,1,1,0.4714045207910317
59,1,1,0.4714045207910317
60,1,1,0.0
61,1,1,0.0
62,4,4,0.8806305718527109
63,4,4,0.9428090415820634
64,1,1,0.0
65,1,1,0.0
66,1,1,0.0
67,1,1,0.0
68,4,4,0.8806305718527109
69,4,4,0.9428090415820634
70,1,1,0.0
71,1,1,0.0
72,4,4,1.0
73,4,4,1.0
74,1,1,0.0
75,1,1,0.0
76,4,4,1.0
77,1,1,0.0
78,1,1,0.0
79,1,1,0.0
80,1,1,0.5
81,1,1,0.0
82,1,1,0.0
83,1,1,0.0
84,1,1,0.0
85,1,1,0.0
86,1,1,0.0
87,1,1,0.0
88,1,1,0.5
89,1,1,0.0
90,1,1,0.0
91,1,1,0.5
92,1,1,0.0
93,1,1,0.0
94,1,1,0.0
95,1,1,0.4714045207910317
96,1,1,0.4714045207910317
97,1,1,0.0
98,1,1,0.5
99,1,1,0.5
100,1,1,0.0
101,1,1,0.0
102,1,1,0.0
103,1,1,0.0
104,1,1,0.0
105,1,1,0.0
106,1,1,0.0
107,1,1,0.0
108,1,1,0.0
109,1,1,0.0
