bench,src,pcs,latencies,stage_count,muops
505.mcf_r/1,1/super_hot_regions:6,"0x61d4948ee097,0x61d4948ee0ad","1,0",1,INC-MOV
505.mcf_r/1,1/super_hot_regions:38,"0x61d4948ec990,0x61d4948ec994","1,0",1,IMUL-ADD
505.mcf_r/1,1/super_hot_regions:55,"0x61d4948f1c83,0x61d4948f1c91","1,0",1,MOV-MOV
505.mcf_r/1,1/super_hot_regions:56,"0x61d4948f1c8e,0x61d4948f1c94","1,0",1,ADD-MOV
505.mcf_r/1,1/super_hot_regions:58,"0x61d4948ee5f8,0x61d4948ee5fb,0x61d4948ee5ff,0x61d4948ee602","1,0,0,0",1,MOV-SHR-ADD-SAR
505.mcf_r/1,1/super_hot_regions:83,"0x61d4948f106d,0x61d4948f107b","1,0",1,MOV-MOV
505.mcf_r/1,1/super_hot_regions:84,"0x61d4948f1078,0x61d4948f107e","1,0",1,ADD-MOV
505.mcf_r/1,1/super_hot_regions:86,"0x61d4948f1c54,0x61d4948f1c5a","1,0",1,MOV-NEG
505.mcf_r/1,1/super_hot_regions:87,"0x61d4948f1c51,0x61d4948f1c5d","1,0",1,MOV-MOV
505.mcf_r/1,1/super_hot_regions:117,"0x61d4948f0a23,0x61d4948f0a29","1,0",1,MOV-MOV
505.mcf_r/1,1/super_hot_regions:122,"0x61d4948f067f,0x61d4948f0688","1,0",1,NEG-MOV
505.mcf_r/1,1/super_hot_regions:137,"0x61d4948f0aba,0x61d4948f0abd","1,0",1,MOV-SUB
505.mcf_r/1,1/super_hot_regions:154,"0x61d4948f1040,0x61d4948f1043","1,0",1,MOV-NEG
