bench,src,pcs,latencies,stage_count,muops
508.namd_r/1,1/super_hot_regions:90,"0x5826d153f130,0x5826d153f138,0x5826d153f13c,0x5826d153f148,0x5826d153f151,0x5826d153f167,0x5826d153f182","4,0,0,0,0,0,0",4,VSUBSD-VSUBSD-VMULSD-VSUBSD-VFMADD132SD-VFMADD132SD-VCOMISD
508.namd_r/1,1/super_hot_regions:91,"0x5826d153f134,0x5826d153f140,0x5826d153f144,0x5826d153f14d,0x5826d153f156,0x5826d153f16c,0x5826d153f18f","4,0,0,0,0,0,0",4,VSUBSD-VMULSD-VSUBSD-VSUBSD-VFMADD132SD-VFMADD132SD-VMOVSD
508.namd_r/1,1/super_hot_regions:97,"0x5826d153c410,0x5826d153c41e,0x5826d153c423,0x5826d153c448,0x5826d153c44d,0x5826d153c465,0x5826d153c4c8","5,0,0,0,0,0,0",5,VSUBSD-VSUBSD-VFMADD132SD-VFMADD132SD-VSUBSD-VFMADD132SD-VMOVSD
