bench,src,pcs,latencies,stage_count,muops
507.cactuBSSN_r/1,1/super_hot_regions:42,"0x75705f2f1474,0x75705f2f147e","1,0",1,VMOVQ-SHR
507.cactuBSSN_r/1,1/super_hot_regions:46,"0x75705f2f1521,0x75705f2f1526","1,0",1,VMOVQ-VFMADD132SD
507.cactuBSSN_r/1,1/super_hot_regions:114,"0x75705f2f18b4,0x75705f2f18c3","1,0",1,VMOVQ-SHR
507.cactuBSSN_r/1,1/super_hot_regions:115,"0x75705f2f18b9,0x75705f2f18cc","1,0",1,VMOVQ-SHR
507.cactuBSSN_r/1,1/super_hot_regions:118,"0x75705f2f194e,0x75705f2f1a13","1,0",1,AND-AND
507.cactuBSSN_r/1,1/super_hot_regions:126,"0x75705f2f1ac1,0x75705f2f1ac6,0x75705f2f1acb,0x75705f2f1acf","1,0,0,0",1,VMOVQ-VFMADD132SD-VMOVSD-VMOVSD
507.cactuBSSN_r/1,1/super_hot_regions:140,"0x75705f2f1669,0x75705f2f1685","1,0",1,VMOVQ-SHR
507.cactuBSSN_r/1,1/super_hot_regions:152,"0x61ec7a495340,0x61ec7a495359","1,0",1,XOR-MOV
507.cactuBSSN_r/1,1/super_hot_regions:155,"0x61ec7a49525d,0x61ec7a49529e","1,0",1,XOR-INC
