bench,src,pc,latency
511.povray_r/1,1/super_hot_regions:91,0x622355aa69a2,1
511.povray_r/1,1/super_hot_regions:91,0x622355aa69a5,0
511.povray_r/1,1/super_hot_regions:91,0x622355aa69af,0
511.povray_r/1,1/super_hot_regions:93,0x622355b01751,1
511.povray_r/1,1/super_hot_regions:93,0x622355b0175e,0
511.povray_r/1,1/super_hot_regions:95,0x622355aa69c0,1
511.povray_r/1,1/super_hot_regions:95,0x622355aa69c3,0
511.povray_r/1,1/super_hot_regions:103,0x622355aa69ea,1
511.povray_r/1,1/super_hot_regions:103,0x622355aa69ee,0
