idx,stages,latency,critσ,combHits,dspHits,baseE,rawE,warE,wawE,flagWR,flagWAW,finalE
0,2,2,1.0,1,0,1,0,0,0,0,0,1
1,3,3,0.9428090415820634,2,0,3,0,0,0,0,0,3
2,2,2,0.0,1,0,1,0,0,0,0,0,1
3,2,2,1.0,1,0,1,0,0,0,0,0,1
4,1,1,0.0,0,0,1,0,0,0,0,0,1
5,1,1,0.0,0,0,1,0,0,0,0,0,1
6,1,1,0.0,0,0,2,0,0,0,0,0,2
7,3,3,0.0,2,0,6,2,1,0,0,2,11
8,2,2,0.0,1,0,1,0,0,0,0,0,1
9,2,2,1.0,1,0,1,0,0,0,0,0,1
10,2,2,1.0,1,0,1,0,0,0,0,0,1
11,1,1,0.0,0,0,1,0,0,0,0,0,1
12,5,5,0.4,3,1,5,1,0,1,0,0,7
13,2,2,1.0,1,0,1,0,0,0,0,0,1
14,2,2,0.0,1,0,1,0,0,0,0,0,1
15,2,2,1.0,1,0,1,0,0,0,0,0,1
16,1,1,0.0,0,0,1,0,0,0,0,0,1
17,2,2,1.0,1,0,2,0,0,0,0,0,1
18,1,1,0.0,0,0,1,0,0,0,0,0,1
19,2,2,1.0,1,0,1,0,0,0,0,0,1
20,2,2,1.0,1,0,1,0,0,0,0,0,1
21,2,2,0.5,1,0,2,0,0,1,0,0,3
22,1,1,0.0,0,0,1,0,0,0,0,0,1
23,2,2,1.0,1,0,1,0,0,0,0,0,1
24,2,2,1.0,1,0,1,0,0,0,0,0,1
25,3,3,0.9428090415820634,2,0,2,1,0,0,0,0,3
26,1,1,0.0,0,0,1,0,0,0,0,0,1
27,3,3,0.9428090415820634,2,0,5,1,0,1,0,0,7
28,11,11,0.899954085146515,5,0,12,20,12,6,0,0,50
29,2,2,0.5,1,0,2,0,0,0,0,0,2
30,1,1,0.0,0,0,1,0,0,0,0,0,1
31,2,2,0.0,1,0,3,1,0,1,1,0,6
32,4,4,0.4330127018922193,3,0,6,5,0,5,3,2,21
33,2,2,1.0,1,0,2,0,0,0,0,0,1
34,3,3,0.0,2,0,4,3,0,0,1,0,8
35,1,1,0.0,0,0,1,0,0,0,0,0,1
36,2,2,1.0,1,0,1,0,0,0,0,0,1
37,2,2,1.0,1,0,1,0,0,0,0,0,1
38,2,2,1.0,1,0,1,0,0,0,0,0,1
39,5,5,0.9797958971132712,3,0,4,1,1,1,0,0,7
40,2,2,1.0,1,0,1,0,0,0,0,0,1
41,2,2,1.0,1,0,1,0,0,0,0,0,1
42,2,2,1.0,1,0,1,0,0,0,0,0,1
43,1,1,0.0,0,0,2,0,0,0,0,1,3
44,2,2,0.0,1,0,1,0,0,0,0,0,1
45,4,4,0.8660254037844386,2,0,3,0,1,0,0,0,4
46,2,2,1.0,1,0,1,0,0,0,0,0,1
47,2,2,0.5,1,0,2,0,0,1,0,0,3
48,3,3,0.9428090415820634,2,0,3,0,0,0,0,0,3
49,3,3,0.9428090415820634,2,0,3,0,0,0,0,0,3
50,2,2,0.5,1,0,2,1,0,0,0,0,3
51,2,2,1.0,1,0,1,0,0,0,0,0,1
52,1,1,0.0,0,0,1,0,0,0,0,0,1
53,2,2,0.0,1,0,1,0,0,0,0,0,1
54,2,2,0.0,1,0,3,1,0,0,0,0,4
55,1,1,0.0,0,0,2,0,0,0,0,0,2
56,8,8,0.33071891388307384,6,0,23,30,10,6,0,35,104
57,2,2,1.0,1,0,1,0,0,0,0,0,1
58,2,2,1.0,1,0,1,0,0,0,0,0,1
59,1,1,0.0,0,0,1,0,0,0,0,0,1
60,6,6,0.7453559924999299,5,0,20,15,5,3,0,15,58
61,2,2,1.0,1,0,1,0,0,0,0,0,1
62,5,5,0.4,3,1,5,1,0,1,0,0,7
63,2,2,1.0,1,0,1,0,0,0,0,0,1
64,2,2,0.0,1,0,1,0,0,0,0,0,1
65,2,2,1.0,1,0,1,0,0,0,0,0,1
66,2,2,1.0,1,0,1,0,0,0,0,0,1
67,2,2,1.0,1,0,1,0,0,0,0,0,1
68,3,3,0.9428090415820634,2,0,3,0,0,0,0,0,3
69,10,10,0.6,9,0,26,41,36,5,0,0,108
70,3,3,0.9428090415820634,2,0,2,0,0,0,0,0,2
71,1,1,0.0,0,0,1,0,0,0,0,0,1
72,4,4,0.8660254037844386,3,0,3,0,0,0,0,0,3
73,5,5,0.9797958971132712,3,0,4,1,1,1,0,0,7
74,2,2,1.0,1,0,1,0,0,0,0,0,1
75,2,2,1.0,1,0,1,0,0,0,0,0,1
76,1,1,0.0,0,0,1,0,0,0,0,0,1
77,3,3,0.9428090415820634,2,0,3,0,0,0,0,0,3
78,2,2,1.0,1,0,1,0,0,0,0,0,1
79,2,2,1.0,1,0,1,0,0,0,0,0,1
80,1,1,0.0,0,0,1,0,0,0,0,0,1
81,2,2,1.0,1,0,1,0,0,0,0,0,1
82,1,1,0.0,0,0,2,0,0,0,0,1,3
83,2,2,1.0,1,0,1,0,0,0,0,0,1
84,2,2,1.0,1,0,1,0,0,0,0,0,1
85,2,2,1.0,1,0,1,0,0,0,0,0,1
86,1,1,0.0,0,0,1,0,0,0,0,0,1
87,2,2,1.0,1,0,2,0,0,0,0,0,1
88,2,2,0.0,1,0,1,0,0,0,0,0,1
89,1,1,0.0,0,0,1,0,0,0,0,0,1
90,1,1,0.0,0,0,1,0,0,0,0,0,1
91,2,2,1.0,1,0,1,0,0,0,0,0,1
92,2,2,1.0,1,0,1,0,0,0,0,0,1
93,3,3,0.9428090415820634,2,0,5,1,0,1,0,0,7
94,11,11,0.899954085146515,5,0,12,20,12,6,0,0,50
95,2,2,0.5,1,0,2,0,0,0,0,0,2
96,1,1,0.0,0,0,1,0,0,0,0,0,1
97,2,2,1.0,1,0,1,0,0,0,0,0,1
98,3,3,0.4714045207910317,2,0,4,0,0,0,0,0,3
99,2,2,0.0,1,0,1,0,0,0,0,0,1
100,2,2,0.0,1,0,1,0,0,0,0,0,1
101,1,1,0.0,0,0,1,0,0,0,0,0,1
102,1,1,0.0,0,0,1,0,0,0,0,0,1
