idx,stages,II,est_fmax_mhz,latency,rank,exec_cnt,serial_mem
134,1,1,225.8,1,5,4654500,False
135,51,1,218.7,51,5,1786487,True
136,2,1,1166.7,2,5,3327225,True
137,4,1,225.8,4,5,6065250,True
138,10,1,225.8,10,5,6065250,True
139,2,1,1166.7,2,5,5191376,True
140,3,1,388.9,3,5,4057368,True
141,2,1,1000.0,2,5,20561085,True
142,2,1,500.0,2,5,1817898,True
143,2,1,304.3,2,5,6320233,True
144,51,1,218.7,51,5,4815137,True
145,2,1,225.8,2,5,668686,False
146,4,1,225.8,4,5,6068900,True
147,10,1,225.8,10,5,6068900,True
148,1,1,304.3,1,5,5028290,False
149,2,1,250.0,2,5,2475691,False
150,2,1,437.5,2,5,1280277,True
151,1,1,304.3,1,5,1280277,True
152,2,1,437.5,2,5,5028084,True
153,1,1,304.3,1,5,5028084,True
154,2,1,437.5,2,6,1707010,True
155,3,1,1166.7,3,6,4537042,True
156,3,1,1166.7,3,6,4119692,True
157,2,1,1166.7,2,6,1808456,True
158,2,1,218.7,2,6,1727389,False
159,2,1,1166.7,2,6,1727389,True
160,2,1,500.0,2,6,2403978,True
161,1,1,500.0,1,6,2800193,False
162,1,1,500.0,1,6,2800193,False
163,2,1,1166.7,2,6,2800193,True
164,2,1,1166.7,2,6,2800193,True
165,5,1,205.9,5,6,2800193,True
166,2,1,1166.7,2,6,3143887,True
167,2,1,1166.7,2,6,5544059,True
168,7,1,218.7,7,6,6493955,True
169,30,1,109.4,30,6,799037,True
170,3,1,388.9,3,6,4056832,True
171,2,1,437.5,2,6,9079161,True
172,1,1,304.3,1,6,9079161,True
173,3,1,1166.7,3,6,2042242,True
174,2,1,1166.7,2,6,2042242,True
175,7,1,218.7,7,6,1148028,True
176,5,1,225.8,5,6,1148028,False
177,2,1,411.8,2,6,1757084,True
178,2,1,225.8,2,6,1757084,False
179,4,1,437.5,4,6,6109289,True
180,2,1,218.7,2,6,4554429,False
181,2,1,1166.7,2,6,4554429,True
182,2,1,500.0,2,6,2403978,True
183,1,1,500.0,1,6,543897,False
184,1,1,500.0,1,6,543897,False
185,2,1,1166.7,2,6,543897,True
186,2,1,1166.7,2,6,543897,True
187,5,1,205.9,5,6,543897,True
188,2,1,1166.7,2,6,5672739,True
189,3,1,1166.7,3,6,3087471,True
190,2,1,1000.0,2,7,2397746,True
191,1,1,291.7,1,7,1936192,False
192,6,1,1166.7,6,7,2571319,True
193,2,1,1166.7,2,7,2571319,True
194,1,1,318.2,1,7,2571319,True
195,6,1,1166.7,6,7,2282845,True
196,2,1,1166.7,2,7,2282845,True
197,1,1,318.2,1,7,2282845,True
198,1,1,304.3,1,7,25951544,False
199,2,1,437.5,2,7,5672465,True
200,2,1,1166.7,2,7,1764490,True
201,3,1,437.5,3,7,2470574,True
202,3,1,1166.7,3,7,3391615,True
203,8,1,437.5,8,7,6493936,True
204,31,1,109.4,31,7,795306,True
205,1,1,304.3,1,7,1108787,False
206,2,1,1166.7,2,7,1108787,True
207,1,1,500.0,1,7,1108787,False
208,1,1,1000.0,1,7,4667322,True
209,28,1,218.7,28,7,1432645,True
210,3,1,437.5,3,7,1961286,True
211,3,1,1166.7,3,7,3391615,True
212,11,1,218.7,11,7,4220776,True
213,2,1,1166.7,2,7,2824161,True
214,2,1,1166.7,2,7,2824161,True
215,2,1,1166.7,2,7,2824161,True
216,2,1,1166.7,2,7,2824161,True
217,2,1,1166.7,2,7,2824161,True
218,2,1,318.2,2,7,2824161,True
219,2,1,1166.7,2,7,1110421,True
220,1,1,437.5,1,7,1110421,True
221,1,1,318.2,1,8,1575800,True
222,3,1,1166.7,3,8,2823218,True
223,3,1,1166.7,3,8,2823218,True
224,2,1,1166.7,2,8,2571309,True
225,2,1,1166.7,2,8,2282835,True
226,1,1,1000.0,1,8,5672464,True
227,2,1,1166.7,2,8,249211,True
228,2,1,1166.7,2,8,249211,True
229,2,1,1166.7,2,8,249211,True
230,2,1,1166.7,2,8,249211,True
231,2,1,1166.7,2,8,249211,True
232,2,1,1166.7,2,8,249211,True
233,2,1,1166.7,2,8,249211,True
234,2,1,1166.7,2,8,249211,True
235,2,1,1166.7,2,8,249211,True
236,2,1,1166.7,2,8,249211,True
237,2,1,1166.7,2,8,249211,True
238,2,1,1166.7,2,8,249211,True
239,2,1,1166.7,2,8,249211,True
240,2,1,1166.7,2,8,249211,True
241,2,1,1166.7,2,8,249211,True
242,2,1,1166.7,2,8,249211,True
243,2,1,1166.7,2,8,249211,True
244,2,1,1166.7,2,8,249211,True
245,2,1,500.0,2,8,2361574,True
246,2,1,500.0,2,8,2248482,True
247,3,1,1166.7,3,8,2114281,True
248,2,1,1000.0,2,8,2517962,True
249,2,1,1166.7,2,8,3143887,True
