benchmark,input,region,cpu_only_cycles,fpga_custom_cycles,cpu_only_ipc,fpga_custom_ipc,cycle_reduction_%
500.perlbench_r,1,region_1,96185048,95762412,1.25,1.25,0.44
500.perlbench_r,1,region_2,115963450,115601404,1.03,1.04,0.31
500.perlbench_r,1,region_3,78035936,77557026,1.54,1.55,0.61
500.perlbench_r,1,region_4,79489432,78992096,1.51,1.52,0.63
500.perlbench_r,1,region_5,140098190,139756230,0.84,0.84,0.24
500.perlbench_r,1,region_6,84895554,84533840,1.41,1.42,0.43
500.perlbench_r,1,region_7,104124330,103707504,1.15,1.16,0.4
500.perlbench_r,1,region_8,127517050,127146372,0.94,0.94,0.29
500.perlbench_r,1,region_9,1976728,1977890,0.57,0.57,-0.06
500.perlbench_r,1,region_10,119767174,119355328,1,1.01,0.34
500.perlbench_r,1,region_11,106825814,106497632,1.12,1.13,0.31
500.perlbench_r,1,region_12,104438734,104172968,0.84,0.85,0.25
500.perlbench_r,1,region_13,118950288,118561516,1.01,1.01,0.33
500.perlbench_r,1,region_14,123400250,123003676,0.97,0.98,0.32
500.perlbench_r,1,region_15,107297752,106908648,1.12,1.12,0.36
500.perlbench_r,1,region_16,105908664,105502628,1.13,1.14,0.38
500.perlbench_r,1,region_17,65557882,65396032,0.82,0.82,0.25
500.perlbench_r,1,average,98848957,98496071,1.07,1.08,0.34
,,,,,,,
500.perlbench_r,2,region_1,212235648,212222368,0.57,0.57,0.01
500.perlbench_r,2,region_2,227884136,226738072,0.53,0.53,0.5
500.perlbench_r,2,region_3,125215294,125186576,0.96,0.96,0.02
500.perlbench_r,2,region_4,112919342,112677148,1.06,1.06,0.21
500.perlbench_r,2,region_5,113204862,112969142,1.06,1.06,0.21
500.perlbench_r,2,region_6,125412668,125176284,0.96,0.96,0.19
500.perlbench_r,2,region_7,205229784,204046370,0.58,0.59,0.58
500.perlbench_r,2,region_8,12196850,12185728,0.53,0.53,0.09
500.perlbench_r,2,region_9,128745450,128502094,0.93,0.93,0.19
500.perlbench_r,2,region_10,125136112,124903214,0.96,0.96,0.19
500.perlbench_r,2,region_11,125319874,125083490,0.96,0.96,0.19
500.perlbench_r,2,region_12,111370562,111131688,1.08,1.08,0.21
500.perlbench_r,2,region_13,130142008,129575284,0.92,0.93,0.44
500.perlbench_r,2,region_14,114471774,114233564,1.05,1.05,0.21
500.perlbench_r,2,region_15,68164746,46931188,1.76,2.56,31.15
500.perlbench_r,2,average,129176607,127437481,0.93,0.98,2.29
,,,,,,,
500.perlbench_r,3,region_1,127320838,127025026,0.94,0.94,0.23
500.perlbench_r,3,region_2,130421054,130132380,0.92,0.92,0.22
500.perlbench_r,3,region_3,113927792,113631980,0.97,0.97,0.26
500.perlbench_r,3,region_4,142155428,141930166,0.84,0.85,0.16
500.perlbench_r,3,region_5,12910982,12884422,0.83,0.83,0.21
500.perlbench_r,3,region_6,131960040,131683982,0.91,0.91,0.21
500.perlbench_r,3,region_7,196479924,196162698,0.61,0.61,0.16
500.perlbench_r,3,region_8,995004,996664,0.64,0.64,-0.17
500.perlbench_r,3,region_9,128312356,128004758,0.94,0.94,0.24
500.perlbench_r,3,region_10,131404770,131119416,0.91,0.92,0.22
500.perlbench_r,3,region_11,144188596,139148504,0.83,0.86,3.5
500.perlbench_r,3,region_12,155892592,153465506,0.77,0.78,1.56
500.perlbench_r,3,region_13,129590556,129293748,0.93,0.93,0.23
500.perlbench_r,3,region_14,21580830,21531860,0.89,0.89,0.23
500.perlbench_r,3,average,111938626,111215079,0.85,0.86,0.52
,,,,,,,
502.gcc_r,1,region_1,207320388,206236740,0.58,0.58,0.52
502.gcc_r,1,region_2,342478086,342209000,0.35,0.35,0.08
502.gcc_r,1,region_3,176197048,175302308,0.66,0.66,0.51
502.gcc_r,1,region_4,192597682,191736308,0.62,0.62,0.45
502.gcc_r,1,region_5,112923990,112294186,0.67,0.67,0.56
502.gcc_r,1,region_6,350303824,349933976,0.34,0.34,0.11
502.gcc_r,1,region_7,288437118,287518972,0.42,0.42,0.32
502.gcc_r,1,region_8,362770922,361743548,0.33,0.33,0.28
502.gcc_r,1,region_9,169874440,168338442,0.71,0.71,0.9
502.gcc_r,1,region_10,172036590,171138364,0.7,0.7,0.52
502.gcc_r,1,region_11,262683380,261178922,0.46,0.46,0.57
502.gcc_r,1,region_12,299600784,298589014,0.4,0.4,0.34
502.gcc_r,1,region_13,303436878,303237844,0.4,0.4,0.07
502.gcc_r,1,region_14,210829628,210074660,0.57,0.57,0.36
502.gcc_r,1,region_15,246050512,245520972,0.49,0.49,0.22
502.gcc_r,1,region_16,222969540,222103352,0.54,0.54,0.39
502.gcc_r,1,region_17,257437780,256599812,0.47,0.47,0.33
502.gcc_r,1,region_18,145395250,144406056,0.83,0.83,0.68
502.gcc_r,1,region_19,154244544,154157560,0.78,0.78,0.06
502.gcc_r,1,region_20,303914958,303895038,0.39,0.39,0.01
502.gcc_r,1,average,239075167,238310754,0.54,0.54,0.36
,,,,,,,
502.gcc_r,2,region_1,142542042,142541212,0.84,0.84,0
502.gcc_r,2,region_2,194707376,193770306,0.62,0.62,0.48
502.gcc_r,2,region_3,408945482,406884592,0.29,0.29,0.5
502.gcc_r,2,region_4,499015256,496998854,0.24,0.24,0.4
502.gcc_r,2,region_5,177596760,176720280,0.65,0.66,0.49
502.gcc_r,2,region_6,178429250,177464790,0.67,0.68,0.54
502.gcc_r,2,region_7,145518422,145517426,0.82,0.82,0
502.gcc_r,2,region_8,318276946,316828762,0.38,0.38,0.46
502.gcc_r,2,region_9,212454270,212047570,0.56,0.57,0.19
502.gcc_r,2,region_10,729605192,729547922,0.16,0.16,0.01
502.gcc_r,2,region_11,692446922,692443270,0.17,0.17,0
502.gcc_r,2,region_12,218033032,216820402,0.55,0.55,0.56
502.gcc_r,2,region_13,278456700,278462510,0.43,0.43,0
502.gcc_r,2,average,322771358,322003684,0.49,0.49,0.4
,,,,,,,
502.gcc_r,3,region_1,98760206,98698786,0.37,0.37,0.06
502.gcc_r,3,region_2,213432010,213136862,0.56,0.56,0.14
502.gcc_r,3,region_3,268586340,268033062,0.45,0.45,0.21
502.gcc_r,3,region_4,229242680,228946536,0.44,0.44,0.13
502.gcc_r,3,region_5,516109272,515898452,0.23,0.23,0.04
502.gcc_r,3,region_6,404533036,403710340,0.3,0.3,0.2
502.gcc_r,3,region_7,266472662,262752104,0.45,0.46,1.4
502.gcc_r,3,region_8,463091694,462806838,0.23,0.23,0.06
502.gcc_r,3,region_9,315965230,315730838,0.38,0.38,0.07
502.gcc_r,3,region_10,379486624,375934556,0.32,0.32,0.94
502.gcc_r,3,region_11,499910494,499539816,0.24,0.24,0.07
502.gcc_r,3,region_12,241126122,240348412,0.5,0.5,0.32
502.gcc_r,3,region_13,144554128,144410704,0.83,0.83,0.1
502.gcc_r,3,region_14,270382460,270369014,0.44,0.44,0
502.gcc_r,3,region_15,87849690,87849026,1.37,1.37,0
502.gcc_r,3,region_16,29702878,29640130,0.63,0.63,0.21
502.gcc_r,3,region_17,144983570,144590316,0.62,0.63,0.27
502.gcc_r,3,average,269069947,268376223,0.49,0.49,0.28
,,,,,,,
502.gcc_r,4,region_1,131424690,131355634,0.91,0.91,0.05
502.gcc_r,4,region_2,367561848,367072480,0.33,0.33,0.13
502.gcc_r,4,region_3,314764884,314333450,0.38,0.38,0.14
502.gcc_r,4,region_4,179313864,179056730,0.67,0.67,0.14
502.gcc_r,4,region_5,11717276,11722090,0.55,0.55,-0.04
502.gcc_r,4,region_6,489371984,488795632,0.25,0.25,0.12
502.gcc_r,4,region_7,156915982,156912994,0.76,0.76,0
502.gcc_r,4,region_8,403135482,402201234,0.3,0.3,0.23
502.gcc_r,4,region_9,257097148,256343674,0.47,0.47,0.29
502.gcc_r,4,region_10,641157404,638697948,0.19,0.19,0.38
502.gcc_r,4,region_11,345835270,345801074,0.35,0.35,0.01
502.gcc_r,4,region_12,484292384,480949974,0.25,0.25,0.69
502.gcc_r,4,region_13,250006624,249986870,0.48,0.48,0.01
502.gcc_r,4,region_14,126277528,125164830,0.95,0.96,0.88
502.gcc_r,4,region_15,203990096,203982460,0.59,0.59,0
502.gcc_r,4,region_16,470396524,470393702,0.26,0.26,0
502.gcc_r,4,region_17,156319046,153953048,0.77,0.78,1.51
502.gcc_r,4,region_18,611866704,610288044,0.2,0.2,0.26
502.gcc_r,4,region_19,471012384,469683886,0.25,0.26,0.28
502.gcc_r,4,average,319603006,318773461,0.47,0.47,0.32
,,,,,,,
502.gcc_r,5,region_1,284723698,284708426,0.42,0.42,0.01
502.gcc_r,5,region_2,242834760,241530996,0.49,0.5,0.54
502.gcc_r,5,region_3,215518464,215475968,0.56,0.56,0.02
502.gcc_r,5,region_4,457065230,457059254,0.26,0.26,0
502.gcc_r,5,region_5,259751488,259678282,0.46,0.46,0.03
502.gcc_r,5,region_6,173009018,172978142,0.69,0.69,0.02
502.gcc_r,5,region_7,209921940,209885752,0.57,0.57,0.02
502.gcc_r,5,region_8,166653210,166648894,0.72,0.72,0
502.gcc_r,5,region_9,198031194,197995172,0.61,0.61,0.02
502.gcc_r,5,region_10,180779644,180325800,0.66,0.67,0.25
502.gcc_r,5,region_11,262136078,262042952,0.46,0.46,0.04
502.gcc_r,5,region_12,187761936,187756126,0.64,0.64,0
502.gcc_r,5,region_13,200096234,200046434,0.6,0.6,0.02
502.gcc_r,5,region_14,208089134,208061744,0.58,0.58,0.01
502.gcc_r,5,region_15,212185350,212138704,0.57,0.57,0.02
502.gcc_r,5,region_16,495754352,495085372,0.24,0.24,0.13
502.gcc_r,5,average,247144483,246963626,0.53,0.53,0.09
,,,,,,,
503.bwaves_r,1,region_1,417502450,417266730,0.29,0.29,0.06
503.bwaves_r,1,region_2,427974892,427674432,0.28,0.28,0.07
503.bwaves_r,1,region_3,412577230,411703572,0.29,0.29,0.21
503.bwaves_r,1,region_4,391894792,391069440,0.31,0.31,0.21
503.bwaves_r,1,region_5,471188344,470934696,0.25,0.25,0.05
503.bwaves_r,1,region_6,417039974,416343106,0.29,0.29,0.17
503.bwaves_r,1,region_7,381879016,381896944,0.31,0.31,0
503.bwaves_r,1,region_8,402459364,401912560,0.3,0.3,0.14
503.bwaves_r,1,region_9,132785724,128486490,0.9,0.93,3.24
503.bwaves_r,1,region_10,391935628,391542540,0.31,0.31,0.1
503.bwaves_r,1,region_11,442000066,441722348,0.27,0.27,0.06
503.bwaves_r,1,region_12,403695732,400320122,0.3,0.3,0.84
503.bwaves_r,1,region_13,693170350,691734284,0.17,0.17,0.21
503.bwaves_r,1,region_14,297106468,293873452,0.4,0.41,1.09
503.bwaves_r,1,region_15,427906168,427585290,0.28,0.28,0.07
503.bwaves_r,1,region_16,391549512,391204564,0.31,0.31,0.09
503.bwaves_r,1,region_17,307475658,306215220,0.39,0.39,0.41
503.bwaves_r,1,region_18,394439738,394099438,0.3,0.3,0.09
503.bwaves_r,1,region_19,398740466,398414608,0.3,0.3,0.08
503.bwaves_r,1,region_20,431421218,431038754,0.28,0.28,0.09
503.bwaves_r,1,region_21,464980940,464711854,0.26,0.26,0.06
503.bwaves_r,1,region_22,428037474,427696842,0.28,0.28,0.08
503.bwaves_r,1,region_23,428004938,427680574,0.28,0.28,0.08
503.bwaves_r,1,region_24,350479950,347741946,0.34,0.35,0.78
503.bwaves_r,1,average,404426920,403452909,0.32,0.32,0.36
,,,,,,,
503.bwaves_r,2,region_1,428925740,428498622,0.28,0.28,0.1
503.bwaves_r,2,region_2,400242766,400220522,0.3,0.3,0.01
503.bwaves_r,2,region_3,398906466,398545914,0.3,0.3,0.09
503.bwaves_r,2,region_4,521998786,518649238,0.23,0.23,0.64
503.bwaves_r,2,region_5,411454074,411194616,0.29,0.29,0.06
503.bwaves_r,2,region_6,387165286,386617486,0.31,0.31,0.14
503.bwaves_r,2,region_7,396926086,396110528,0.3,0.3,0.21
503.bwaves_r,2,region_8,301603076,298295858,0.4,0.4,1.1
503.bwaves_r,2,region_9,126514742,122438280,0.95,0.98,3.22
503.bwaves_r,2,region_10,409765190,409139204,0.29,0.29,0.15
503.bwaves_r,2,region_11,405112874,401692776,0.3,0.3,0.84
503.bwaves_r,2,region_12,393580024,393229100,0.3,0.31,0.09
503.bwaves_r,2,region_13,273729352,271745486,0.44,0.44,0.72
503.bwaves_r,2,region_14,226023110,222516858,0.53,0.54,1.55
503.bwaves_r,2,region_15,461495770,461193650,0.26,0.26,0.07
503.bwaves_r,2,region_16,345917274,343121502,0.35,0.35,0.81
503.bwaves_r,2,region_17,429012890,428536968,0.28,0.28,0.11
503.bwaves_r,2,region_18,387530652,386710446,0.31,0.31,0.21
503.bwaves_r,2,region_19,428548920,428211774,0.28,0.28,0.08
503.bwaves_r,2,region_20,393599280,393228104,0.3,0.31,0.09
503.bwaves_r,2,region_21,468858202,468458806,0.26,0.26,0.09
503.bwaves_r,2,region_22,413385152,413058298,0.29,0.29,0.08
503.bwaves_r,2,region_23,382706194,382698060,0.31,0.31,0
503.bwaves_r,2,region_24,469350558,469121478,0.26,0.26,0.05
503.bwaves_r,2,average,385931353,384718066,0.34,0.34,0.46
,,,,,,,
503.bwaves_r,3,region_1,434028248,433612916,0.28,0.28,0.1
503.bwaves_r,3,region_2,278450558,275232814,0.43,0.44,1.16
503.bwaves_r,3,region_3,404604748,404060766,0.3,0.3,0.13
503.bwaves_r,3,region_4,313363346,309290038,0.38,0.39,1.3
503.bwaves_r,3,region_5,465377348,465058296,0.26,0.26,0.07
503.bwaves_r,3,region_6,434670668,434233092,0.28,0.28,0.1
503.bwaves_r,3,region_7,370135844,367491298,0.32,0.33,0.71
503.bwaves_r,3,region_8,224664068,218521570,0.53,0.55,2.73
503.bwaves_r,3,region_9,301577844,297785906,0.4,0.4,1.26
503.bwaves_r,3,region_10,434465492,434068088,0.28,0.28,0.09
503.bwaves_r,3,region_11,465245046,464923172,0.26,0.26,0.07
503.bwaves_r,3,region_12,410181352,409877406,0.29,0.29,0.07
503.bwaves_r,3,region_13,414606414,414206520,0.29,0.29,0.1
503.bwaves_r,3,region_14,250237862,246812120,0.48,0.49,1.37
503.bwaves_r,3,region_15,415108896,414737554,0.29,0.29,0.09
503.bwaves_r,3,region_16,547089520,540864852,0.22,0.22,1.14
503.bwaves_r,3,region_17,434577210,434204872,0.28,0.28,0.09
503.bwaves_r,3,region_18,464777922,464478126,0.26,0.26,0.06
503.bwaves_r,3,region_19,450710252,450333432,0.27,0.27,0.08
503.bwaves_r,3,region_20,426419306,426021902,0.28,0.28,0.09
503.bwaves_r,3,region_21,335769196,335929718,0.36,0.36,-0.05
503.bwaves_r,3,region_22,439443832,439075810,0.27,0.27,0.08
503.bwaves_r,3,region_23,225532248,221191514,0.53,0.54,1.92
503.bwaves_r,3,average,388740749,387043991,0.33,0.33,0.55
,,,,,,,
503.bwaves_r,4,region_1,369085728,366318508,0.33,0.33,0.75
503.bwaves_r,4,region_2,453153108,452472342,0.26,0.27,0.15
503.bwaves_r,4,region_3,438726380,437813214,0.27,0.27,0.21
503.bwaves_r,4,region_4,434472630,434157396,0.28,0.28,0.07
503.bwaves_r,4,region_5,703846806,702173858,0.17,0.17,0.24
503.bwaves_r,4,region_6,389460568,389136868,0.31,0.31,0.08
503.bwaves_r,4,region_7,236049344,232821640,0.51,0.52,1.37
503.bwaves_r,4,region_8,468184906,467744176,0.26,0.26,0.09
503.bwaves_r,4,region_9,839753330,839727600,0.14,0.14,0
503.bwaves_r,4,region_10,306649144,305146844,0.39,0.39,0.49
503.bwaves_r,4,region_11,412551002,412339518,0.29,0.29,0.05
503.bwaves_r,4,region_12,427781834,427114846,0.28,0.28,0.16
503.bwaves_r,4,region_13,404752156,404516436,0.3,0.3,0.06
503.bwaves_r,4,region_14,401234450,400740434,0.3,0.3,0.12
503.bwaves_r,4,region_15,434586838,434261478,0.28,0.28,0.07
503.bwaves_r,4,region_16,412236266,411636010,0.29,0.29,0.15
503.bwaves_r,4,region_17,386022376,386039640,0.31,0.31,0
503.bwaves_r,4,region_18,473364106,469555402,0.25,0.26,0.8
503.bwaves_r,4,region_19,467784846,467504804,0.26,0.26,0.06
503.bwaves_r,4,region_20,257317430,252800238,0.47,0.47,1.76
503.bwaves_r,4,region_21,467560414,467329176,0.26,0.26,0.05
503.bwaves_r,4,average,437360651,436254782,0.3,0.3,0.35
,,,,,,,
505.mcf_r,1,region_1,1376374392,1370141092,0.09,0.09,0.45
505.mcf_r,1,region_2,996936738,993735594,0.12,0.12,0.32
505.mcf_r,1,region_3,216770768,215195760,0.55,0.56,0.73
505.mcf_r,1,region_4,404302960,402643790,0.3,0.3,0.41
505.mcf_r,1,region_5,1233019780,1227328636,0.1,0.1,0.46
505.mcf_r,1,region_6,955313566,952225302,0.13,0.13,0.32
505.mcf_r,1,region_7,1138694098,1133923258,0.11,0.11,0.42
505.mcf_r,1,region_8,236208206,234672042,0.51,0.51,0.65
505.mcf_r,1,region_9,447899042,446735548,0.27,0.27,0.26
505.mcf_r,1,region_10,590623518,589037886,0.2,0.2,0.27
505.mcf_r,1,region_11,763234468,762151484,0.16,0.16,0.14
505.mcf_r,1,region_12,871580344,871566566,0.14,0.14,0
505.mcf_r,1,region_13,420165256,419251426,0.29,0.29,0.22
505.mcf_r,1,region_14,319326564,317761184,0.38,0.38,0.49
505.mcf_r,1,region_15,605021030,603223416,0.2,0.2,0.3
505.mcf_r,1,region_16,305256072,303821666,0.39,0.39,0.47
505.mcf_r,1,region_17,315279816,313702318,0.38,0.38,0.5
505.mcf_r,1,region_18,570110566,568742228,0.21,0.21,0.24
505.mcf_r,1,region_19,419317494,418727364,0.29,0.29,0.14
505.mcf_r,1,region_20,892814566,889862422,0.13,0.13,0.33
505.mcf_r,1,region_21,275314154,273841070,0.44,0.44,0.54
505.mcf_r,1,region_22,503795890,502273338,0.24,0.24,0.3
505.mcf_r,1,region_23,1251731632,1247443686,0.1,0.1,0.34
505.mcf_r,1,region_24,342558098,340997034,0.35,0.35,0.46
505.mcf_r,1,region_25,387997278,386356700,0.31,0.31,0.42
505.mcf_r,1,region_26,625976372,625625448,0.19,0.19,0.06
505.mcf_r,1,region_27,814460408,-,0.15,-,-
505.mcf_r,1,region_28,916305890,915011588,0.13,0.13,0.14
505.mcf_r,1,average,643775132,641703624,0.25,0.25,0.36
,,,,,,,
507.cactuBSSN_r,1,region_1,794287258,793858646,0.15,0.15,0.05
507.cactuBSSN_r,1,region_2,508750824,508291834,0.24,0.24,0.09
507.cactuBSSN_r,1,region_3,726022580,726017434,0.17,0.17,0
507.cactuBSSN_r,1,region_4,445211668,442761674,0.27,0.27,0.55
507.cactuBSSN_r,1,region_5,753254216,753242264,0.16,0.16,0
507.cactuBSSN_r,1,region_6,694292178,691650288,0.17,0.17,0.38
507.cactuBSSN_r,1,region_7,103588316,103588316,1.16,1.16,0
507.cactuBSSN_r,1,region_8,324638232,324632090,0.37,0.37,0
507.cactuBSSN_r,1,region_9,739426748,739416622,0.16,0.16,0
507.cactuBSSN_r,1,region_10,240311892,240305916,0.5,0.5,0
507.cactuBSSN_r,1,region_11,695871502,695866024,0.17,0.17,0
507.cactuBSSN_r,1,region_12,597391670,595034968,0.2,0.2,0.39
507.cactuBSSN_r,1,region_13,557233946,556879868,0.22,0.22,0.06
507.cactuBSSN_r,1,region_14,103595786,103595620,1.16,1.16,0
507.cactuBSSN_r,1,region_15,646765880,644254134,0.19,0.19,0.39
507.cactuBSSN_r,1,region_16,661223816,660955726,0.18,0.18,0.04
507.cactuBSSN_r,1,region_17,397450314,397340090,0.3,0.3,0.03
507.cactuBSSN_r,1,region_18,576922210,576752558,0.21,0.21,0.03
507.cactuBSSN_r,1,region_19,531489836,531489670,0.23,0.23,0
507.cactuBSSN_r,1,region_20,767914506,-,0.16,-,-
507.cactuBSSN_r,1,region_21,547377696,546850480,0.22,0.22,0.1
507.cactuBSSN_r,1,region_22,362668334,362499180,0.33,0.33,0.05
507.cactuBSSN_r,1,region_23,178928080,178907496,0.67,0.67,0.01
507.cactuBSSN_r,1,region_24,144526406,144522256,0.83,0.83,0
507.cactuBSSN_r,1,region_25,125162838,125146570,0.96,0.96,0.01
507.cactuBSSN_r,1,average,477349676,476827488,0.38,0.38,0.16
,,,,,,,
508.namd_r,1,region_1,107238988,107135238,1.12,1.12,0.1
508.namd_r,1,region_2,97072484,95059236,1.24,1.26,2.07
508.namd_r,1,region_3,84920620,83221942,1.41,1.44,2
508.namd_r,1,region_4,78497582,74490342,1.53,1.61,5.1
508.namd_r,1,region_5,84866836,82933268,1.41,1.45,2.28
508.namd_r,1,region_6,102969136,100800512,1.17,1.19,2.11
508.namd_r,1,region_7,81473298,80447252,1.47,1.49,1.26
508.namd_r,1,region_8,81438936,78191644,1.47,1.53,3.99
508.namd_r,1,region_9,107110338,107007086,1.12,1.12,0.1
508.namd_r,1,region_10,82886954,78459734,1.45,1.53,5.34
508.namd_r,1,region_11,94826172,94826006,1.27,1.27,0
508.namd_r,1,region_12,79074930,75077318,1.52,1.6,5.06
508.namd_r,1,region_13,100419376,98638860,1.19,1.22,1.77
508.namd_r,1,region_14,78539082,74513416,1.53,1.61,5.13
508.namd_r,1,region_15,88392344,88392510,1.36,1.36,0
508.namd_r,1,region_16,99365276,99365110,1.21,1.21,0
508.namd_r,1,region_17,100035584,100035418,1.2,1.2,0
508.namd_r,1,region_18,110360950,110360784,1.09,1.09,0
508.namd_r,1,region_19,101277430,99600000,1.18,1.2,1.66
508.namd_r,1,region_20,94331492,94331658,1.27,1.27,0
508.namd_r,1,region_21,94845262,94845428,1.27,1.27,0
508.namd_r,1,region_22,82175644,78998736,1.46,1.52,3.87
508.namd_r,1,region_23,83092794,78719524,1.44,1.52,5.26
508.namd_r,1,region_24,100606790,99049212,1.19,1.21,1.55
508.namd_r,1,region_25,93600428,93600428,1.28,1.28,0
508.namd_r,1,region_26,110394316,109842532,1.09,1.09,0.5
508.namd_r,1,average,93069732,91459354,1.31,1.33,2.73
,,,,,,,
510.parest_r,1,region_1,136981208,130007714,0.88,0.92,5.09
510.parest_r,1,region_2,115728394,110420876,1.04,1.09,4.59
510.parest_r,1,region_3,116355044,116329148,1.03,1.03,0.02
510.parest_r,1,region_4,114848594,113612392,1.04,1.06,1.08
510.parest_r,1,region_5,446629640,446322042,0.27,0.27,0.07
510.parest_r,1,region_6,153391470,153331544,0.78,0.78,0.04
510.parest_r,1,region_7,104311910,101103960,1.15,1.19,3.08
510.parest_r,1,region_8,452397144,452094858,0.27,0.27,0.07
510.parest_r,1,region_9,119777300,119750574,1,1,0.02
510.parest_r,1,region_10,105719590,101567930,1.14,1.18,3.93
510.parest_r,1,region_11,217086168,215811288,0.55,0.56,0.59
510.parest_r,1,region_12,467341626,467085322,0.26,0.26,0.05
510.parest_r,1,region_13,454453386,454156412,0.26,0.26,0.07
510.parest_r,1,region_14,469998456,469827974,0.26,0.26,0.04
510.parest_r,1,region_15,146281524,146281358,0.82,0.82,0
510.parest_r,1,region_16,126093600,125179604,0.95,0.96,0.72
510.parest_r,1,region_17,449560536,449267546,0.27,0.27,0.07
510.parest_r,1,average,246879741,245420620,0.7,0.72,1.22
,,,,,,,
511.povray_r,1,region_1,121171700,120803014,0.99,0.99,0.3
511.povray_r,1,region_2,8648434,8623368,0.99,1,0.29
511.povray_r,1,region_3,127513730,127149194,0.94,0.94,0.29
511.povray_r,1,region_4,122082542,121695928,0.98,0.99,0.32
511.povray_r,1,region_5,119978824,119646990,1,1,0.28
511.povray_r,1,region_6,122225634,121810468,0.98,0.99,0.34
511.povray_r,1,region_7,120537082,120183004,1,1,0.29
511.povray_r,1,region_8,122928312,122518458,0.98,0.98,0.33
511.povray_r,1,region_9,123289860,122800990,0.97,0.98,0.4
511.povray_r,1,region_10,123436438,122992720,0.97,0.98,0.36
511.povray_r,1,region_11,123626010,123241720,0.97,0.97,0.31
511.povray_r,1,region_12,104958148,104574688,1.14,1.15,0.37
511.povray_r,1,region_13,121381690,120987274,0.99,0.99,0.32
511.povray_r,1,region_14,122275434,121903926,0.98,0.98,0.3
511.povray_r,1,region_15,109994920,109592038,1.09,1.09,0.37
511.povray_r,1,region_16,79662902,79427348,0.96,0.96,0.3
511.povray_r,1,region_17,122157740,121728796,0.98,0.99,0.35
511.povray_r,1,region_18,122396448,121957876,0.98,0.98,0.36
511.povray_r,1,region_19,120919878,120541066,0.99,1,0.31
511.povray_r,1,region_20,122307638,121930320,0.98,0.98,0.31
511.povray_r,1,region_21,95689372,95369324,0.98,0.98,0.33
511.povray_r,1,region_22,115890244,115551106,1.04,1.04,0.29
511.povray_r,1,region_23,114927776,114487378,1.04,1.05,0.38
511.povray_r,1,average,112521772,112152913,1,1,0.33
,,,,,,,
519.lbm_r,1,region_1,176260626,175636134,0.68,0.68,0.35
519.lbm_r,1,region_2,174829872,174204716,0.69,0.69,0.36
519.lbm_r,1,region_3,170650822,170039776,0.7,0.71,0.36
519.lbm_r,1,region_4,329204560,414469796,0.36,0.29,-25.9
519.lbm_r,1,region_5,170580604,169969060,0.7,0.71,0.36
