env,benchmark,cpu_cycles,fpga_cycles,delta_cycles,delta_cycle_pct,saved_cpu_ns,fpga_time_ns,f_fpga_mhz,num_blocks,avg_depth,total_depth,clb_used,dsp_used,clb_pct_board,dsp_pct_board,area_mm2,total_W,dyn_W,W_per_mm2,stage_count_raw
atom_d510,654.roms_s,3395141520,3381731324,13410196,0.395,8030057.49,29386220.45,456.343,5,1.0,5,463,10,0.313,0.146,1.447,2.821,0.348,1.95,1+1+1+1+1
atom_c2750,654.roms_s,2429159280,2411536304,17622976,0.725,7342906.67,38617829.13,456.343,5,1.0,5,463,10,0.313,0.146,1.447,2.821,0.348,1.95,1+1+1+1+1
i7_4770k,654.roms_s,1336820240,1319068532,17751708,1.328,5071916.57,38899923.96,456.343,5,1.0,5,463,10,0.313,0.146,1.447,2.821,0.348,1.95,1+1+1+1+1
atom_e3845,654.roms_s,1762321117,1744508056,17813061,1.011,9326209.95,39034368.88,456.343,5,1.0,5,463,10,0.313,0.146,1.447,2.821,0.348,1.95,1+1+1+1+1
gainestown,654.roms_s,2273133289,2252953837,20179452,0.888,7206947.14,44219922.3,456.343,5,1.0,5,463,10,0.313,0.146,1.447,2.821,0.348,1.95,1+1+1+1+1
atom_d510,503.bwaves_r,36720308195,36600573094,119735101,0.326,71697665.27,301891756.76,396.616,35,1.0,35,1941,40,1.313,0.585,6.066,3.194,0.716,0.527,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1
atom_c2750,503.bwaves_r,24419503055,24322832908,96670147,0.396,40279227.92,243737385.78,396.616,35,1.0,35,1941,40,1.313,0.585,6.066,3.194,0.716,0.527,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1
i7_4770k,503.bwaves_r,17055586528,16908941921,146644607,0.86,41898459.14,369739513.79,396.616,35,1.0,35,1941,40,1.313,0.585,6.066,3.194,0.716,0.527,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1
atom_e3845,503.bwaves_r,22653187258,22549317439,103869819,0.459,54382104.19,261890138.07,396.616,35,1.0,35,1941,40,1.313,0.585,6.066,3.194,0.716,0.527,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1
gainestown,503.bwaves_r,18979601699,18853763579,125838120,0.663,44942185.71,317279484.44,396.616,35,1.0,35,1941,40,1.313,0.585,6.066,3.194,0.716,0.527,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1
atom_d510,523.xalancbmk_r,5095383401,5089510970,5872431,0.115,3516425.75,11306378.05,519.391,5,1.0,5,88,0,0.06,0.0,0.275,2.65,0.179,9.636,1+1+1+1+1
atom_c2750,523.xalancbmk_r,3502233502,3496579516,5653986,0.161,2355827.5,10885798.95,519.391,5,1.0,5,88,0,0.06,0.0,0.275,2.65,0.179,9.636,1+1+1+1+1
i7_4770k,523.xalancbmk_r,2625035477,2619842495,5192982,0.198,1483709.14,9998213.29,519.391,5,1.0,5,88,0,0.06,0.0,0.275,2.65,0.179,9.636,1+1+1+1+1
atom_e3845,523.xalancbmk_r,3941269807,3935541535,5728272,0.145,2999095.29,11028824.14,519.391,5,1.0,5,88,0,0.06,0.0,0.275,2.65,0.179,9.636,1+1+1+1+1
gainestown,523.xalancbmk_r,2619833553,2613387683,6445870,0.246,2302096.43,12410438.38,519.391,5,1.0,5,88,0,0.06,0.0,0.275,2.65,0.179,9.636,1+1+1+1+1
