benchmark,input,region,cpu_only_cycles,fpga_custom_cycles,cpu_only_ipc,fpga_custom_ipc,cycle_reduction_%
502.gcc_r,3,region_8,297963247,297676556,0.36,0.36,0.10
502.gcc_r,3,region_9,208771977,208528261,0.57,0.58,0.12
502.gcc_r,3,region_10,266303087,262769014,0.45,0.46,1.33
502.gcc_r,3,region_11,309625516,309253257,0.39,0.39,0.12
502.gcc_r,3,region_12,139978170,139179217,0.86,0.86,0.57
502.gcc_r,3,region_13,132614547,132471679,0.90,0.91,0.11
502.gcc_r,3,region_14,200266556,200252995,0.60,0.60,0.01
502.gcc_r,3,region_15,77993131,77992558,1.54,1.54,0.00
502.gcc_r,3,region_16,23649238,23586017,0.79,0.79,0.27
502.gcc_r,3,region_17,98730956,98315340,0.92,0.92,0.42
502.gcc_r,3,average,177064662,176367142,0.71,0.71,0.40

502.gcc_r,4,region_1,125703021,125636171,0.95,0.96,0.05
502.gcc_r,4,region_2,254127028,253592992,0.47,0.47,0.21
502.gcc_r,4,region_3,229467782,229055031,0.52,0.52,0.18
502.gcc_r,4,region_4,159258092,159000624,0.75,0.75,0.16
502.gcc_r,4,region_5,8735767,8737677,0.74,0.74,-0.02
502.gcc_r,4,region_6,326516219,325984284,0.37,0.37,0.16
502.gcc_r,4,region_7,100318739,100315874,1.20,1.20,0.00
502.gcc_r,4,region_8,260622365,259702318,0.46,0.46,0.35
502.gcc_r,4,region_9,144062323,143268145,0.83,0.84,0.55
502.gcc_r,4,region_10,438100711,435648462,0.27,0.28,0.56
502.gcc_r,4,region_11,255660376,255628479,0.47,0.47,0.01
502.gcc_r,4,region_12,333734873,330401159,0.36,0.36,1.00
502.gcc_r,4,region_13,204118644,204109667,0.59,0.59,0.00
502.gcc_r,4,region_14,105372981,104277787,1.14,1.15,1.04
502.gcc_r,4,region_15,160438281,160431214,0.75,0.75,0.00
502.gcc_r,4,region_16,135272312,135272121,0.89,0.89,0.00
502.gcc_r,4,region_17,123970842,121622497,0.97,0.99,1.89
502.gcc_r,4,region_18,413836071,412279994,0.29,0.29,0.38
502.gcc_r,4,region_19,319115733,317754858,0.38,0.38,0.43
502.gcc_r,4,average,215706956,214879966,0.65,0.66,0.46

502.gcc_r,5,region_1,202492852,202478336,0.59,0.59,0.01
502.gcc_r,5,region_2,143859672,142475686,0.83,0.84,0.96
502.gcc_r,5,region_3,157596201,157552462,0.76,0.76,0.03
502.gcc_r,5,region_4,138573747,138573365,0.87,0.87,0.00
502.gcc_r,5,region_5,159038633,158965862,0.75,0.75,0.05
502.gcc_r,5,region_6,139053539,139022024,0.86,0.86,0.02
502.gcc_r,5,region_7,162682722,162646241,0.74,0.74,0.02
502.gcc_r,5,region_8,105378138,105374127,1.14,1.14,0.00
502.gcc_r,5,region_9,153639636,153601818,0.78,0.78,0.02
502.gcc_r,5,region_10,142545783,142090057,0.84,0.84,0.32
502.gcc_r,5,region_11,149625580,149540012,0.80,0.80,0.06
502.gcc_r,5,region_12,150600253,150594141,0.80,0.80,0.00
502.gcc_r,5,region_13,142634598,142582837,0.84,0.84,0.04
502.gcc_r,5,region_14,151781588,151753893,0.79,0.79,0.02
502.gcc_r,5,region_15,160976710,160929915,0.75,0.75,0.03
502.gcc_r,5,region_16,335307758,334682615,0.36,0.36,0.19
502.gcc_r,5,average,162236713,162053962,0.78,0.78,0.14

503.bwaves_r,1,region_1,241032832,240756646,0.50,0.50,0.11
503.bwaves_r,1,region_2,239204007,238873768,0.50,0.50,0.14
503.bwaves_r,1,region_3,236062821,235748435,0.51,0.51,0.13
503.bwaves_r,1,region_4,210783398,210413049,0.57,0.57,0.18
503.bwaves_r,1,region_5,291789936,291560927,0.41,0.41,0.08
503.bwaves_r,1,region_6,242959067,242663590,0.49,0.49,0.12
503.bwaves_r,1,region_7,297021235,296978451,0.40,0.40,0.01
503.bwaves_r,1,region_8,226327169,225994638,0.53,0.53,0.15
503.bwaves_r,1,region_9,110230493,105259145,1.09,1.14,4.51
503.bwaves_r,1,region_10,215453730,215103054,0.56,0.56,0.16
503.bwaves_r,1,region_11,256861575,256581760,0.47,0.47,0.11
503.bwaves_r,1,region_12,226706113,223739310,0.53,0.54,1.31
503.bwaves_r,1,region_13,331537418,330268414,0.36,0.36,0.38
503.bwaves_r,1,region_14,169199069,165426055,0.71,0.73,2.23
503.bwaves_r,1,region_15,238411548,238081691,0.50,0.50,0.14
503.bwaves_r,1,region_16,202140839,201763423,0.59,0.59,0.19
503.bwaves_r,1,region_17,224670435,223554613,0.53,0.54,0.50
503.bwaves_r,1,region_18,206599161,206229576,0.58,0.58,0.18
503.bwaves_r,1,region_19,213270600,212912475,0.56,0.56,0.17
503.bwaves_r,1,region_20,257502380,257226003,0.47,0.47,0.11
503.bwaves_r,1,region_21,287109863,286869776,0.42,0.42,0.08
503.bwaves_r,1,region_22,238864409,238536271,0.50,0.50,0.14
503.bwaves_r,1,region_23,239073554,238743315,0.50,0.50,0.14
503.bwaves_r,1,region_24,239719898,237075503,0.50,0.51,1.10
503.bwaves_r,1,average,235105481,234181662,0.53,0.54,0.52

503.bwaves_r,2,region_1,238854477,238529586,0.50,0.50,0.14
503.bwaves_r,2,region_2,307423286,307402658,0.39,0.39,0.01
