benchmark,input,region,cpu_only_cycles,fpga_custom_cycles,cpu_only_ipc,fpga_custom_ipc,cycle_reduction_%
500.perlbench_r,1,region_1,89129040,88705920,1.35,1.35,0.47
500.perlbench_r,1,region_2,101524560,101161200,1.18,1.19,0.36
500.perlbench_r,1,region_3,76239120,75765360,1.57,1.58,0.62
500.perlbench_r,1,region_4,77324640,76826880,1.55,1.56,0.64
500.perlbench_r,1,region_5,118715760,118373280,0.99,1.00,0.29
500.perlbench_r,1,region_6,80906160,80544720,1.48,1.49,0.45
500.perlbench_r,1,region_7,93888720,93471600,1.28,1.28,0.44
500.perlbench_r,1,region_8,110748960,110379120,1.08,1.09,0.33
500.perlbench_r,1,region_9,1655040,1656240,0.68,0.68,-0.07
500.perlbench_r,1,region_10,107131920,106721280,1.12,1.12,0.38
500.perlbench_r,1,region_11,94236480,93911760,1.27,1.28,0.34
500.perlbench_r,1,region_12,88452240,88186800,1.00,1.00,0.30
500.perlbench_r,1,region_13,103479360,103091760,1.16,1.16,0.37
500.perlbench_r,1,region_14,106729680,106331040,1.12,1.13,0.37
500.perlbench_r,1,region_15,96037440,95647200,1.25,1.25,0.41
500.perlbench_r,1,region_16,95236320,94830240,1.26,1.27,0.43
500.perlbench_r,1,region_17,55246320,55084320,0.97,0.98,0.29
500.perlbench_r,1,average,88040104,87687572,1.19,1.20,0.38

500.perlbench_r,2,region_1,175690560,175680240,0.68,0.68,0.01
500.perlbench_r,2,region_2,187907280,186824160,0.64,0.64,0.58
500.perlbench_r,2,region_3,110631360,110601600,1.08,1.08,0.03
500.perlbench_r,2,region_4,104242080,103999920,1.15,1.15,0.23
500.perlbench_r,2,region_5,103760400,103522560,1.16,1.16,0.23
500.perlbench_r,2,region_6,114881280,114646800,1.04,1.05,0.20
500.perlbench_r,2,region_7,172432800,171556320,0.70,0.70,0.51
500.perlbench_r,2,region_8,10280880,10269120,0.63,0.63,0.11
500.perlbench_r,2,region_9,117595440,117353760,1.02,1.02,0.21
500.perlbench_r,2,region_10,114593280,114362400,1.05,1.05,0.20
500.perlbench_r,2,region_11,114584160,114349440,1.05,1.05,0.20
500.perlbench_r,2,region_12,102597840,102359040,1.17,1.17,0.23
