bench,src,pc,latency
641.leela_s/1,1/super_hot_regions:38,0x61244ae5ce7b,1
641.leela_s/1,1/super_hot_regions:38,0x61244ae5ce7e,0
641.leela_s/1,1/super_hot_regions:39,0x61244ae5ce82,1
641.leela_s/1,1/super_hot_regions:39,0x61244ae5ce85,0
641.leela_s/1,1/super_hot_regions:51,0x61244ae89eb1,1
641.leela_s/1,1/super_hot_regions:51,0x61244ae89eb4,0
641.leela_s/1,1/super_hot_regions:51,0x61244ae89ec0,0
641.leela_s/1,1/super_hot_regions:94,0x61244ae5cd01,1
641.leela_s/1,1/super_hot_regions:94,0x61244ae5cd0a,0
